"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 20 15:11:31 IST 2023","Mon Feb 20 15:11:39 IST 2023","7252","","Test Search Page page for mobile and desktop size screens with number of items in the list","","Verify Search Results have more than 3 items in the list","","Verify Search Results have more than 3 items in the list",""
"passed","Mon Feb 20 15:12:08 IST 2023","Mon Feb 20 15:12:10 IST 2023","1601","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the GET USER API getUser_invalid_usernameDefined_Is_Yes_with_special_characters","","Verifying the GET USER API getUser_invalid_usernameDefined_Is_Yes_with_special_characters",""
"failed","Mon Feb 20 15:12:07 IST 2023","Mon Feb 20 15:12:08 IST 2023","1597","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the GET USER API getUser_username_Is_Null","","Verifying the GET USER API getUser_username_Is_Null",""
"passed","Mon Feb 20 15:12:25 IST 2023","Mon Feb 20 15:12:26 IST 2023","1416","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_valid_Username_BodyApplicationJsonType_Is_NotObject","","Verifying the UPDATE USER API putUser_valid_Username_BodyApplicationJsonType_Is_NotObject",""
"failed","Mon Feb 20 15:12:41 IST 2023","Mon Feb 20 15:12:42 IST 2023","1426","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the DELETE USER API deleteUser_username_Is_Null","","Verifying the DELETE USER API deleteUser_username_Is_Null",""
"failed","Mon Feb 20 15:12:28 IST 2023","Mon Feb 20 15:12:29 IST 2023","1613","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_valid_Username_BodyApplicationJsonType_Are_null","","Verifying the UPDATE USER API putUser_valid_Username_BodyApplicationJsonType_Are_null",""
"failed","Mon Feb 20 15:11:58 IST 2023","Mon Feb 20 15:12:00 IST 2023","1644","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the CREATE USER API postUser_BodyApplicationJsonValueProperties_Are_Null","","Verifying the CREATE USER API postUser_BodyApplicationJsonValueProperties_Are_Null",""
"passed","Mon Feb 20 15:12:22 IST 2023","Mon Feb 20 15:12:23 IST 2023","1539","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_valid_Username_BodyDefined_Is_No","","Verifying the UPDATE USER API putUser_valid_Username_BodyDefined_Is_No",""
"failed","Mon Feb 20 15:12:38 IST 2023","Mon Feb 20 15:12:39 IST 2023","1384","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the DELETE USER API deleteUser_invalid_usernameDefined_Is_Yes_with_special_characters","","Verifying the DELETE USER API deleteUser_invalid_usernameDefined_Is_Yes_with_special_characters",""
"passed","Mon Feb 20 15:10:56 IST 2023","Mon Feb 20 15:11:06 IST 2023","10301","","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","","Verify company logo and menu items are displayed on Home Page.","","Verify company logo and menu items are displayed on Home Page.",""
"passed","Mon Feb 20 15:11:45 IST 2023","Mon Feb 20 15:11:52 IST 2023","7184","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the CREATE USER API postUser_valid_BodyDefined_Is_Yes","","Verifying the CREATE USER API postUser_valid_BodyDefined_Is_Yes",""
"passed","Mon Feb 20 15:12:23 IST 2023","Mon Feb 20 15:12:25 IST 2023","1504","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_invalid_Username_BodyDefined_Is_No","","Verifying the UPDATE USER API putUser_invalid_Username_BodyDefined_Is_No",""
"failed","Mon Feb 20 15:12:13 IST 2023","Mon Feb 20 15:12:15 IST 2023","1610","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_invalid_Username_validBodyDefined_Is_Yes","","Verifying the UPDATE USER API putUser_invalid_Username_validBodyDefined_Is_Yes",""
"passed","Mon Feb 20 15:11:39 IST 2023","Mon Feb 20 15:11:45 IST 2023","6114","","Test Search Page page for mobile and desktop size screens with number of items in the list","","Verify Search Results have more than 3 items in the list","","Verify Search Results have more than 3 items in the list",""
"passed","Mon Feb 20 15:12:10 IST 2023","Mon Feb 20 15:12:12 IST 2023","1586","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_valid_Username_validBodyDefined_Is_Yes","","Verifying the UPDATE USER API putUser_valid_Username_validBodyDefined_Is_Yes",""
"passed","Mon Feb 20 15:11:25 IST 2023","Mon Feb 20 15:11:31 IST 2023","6423","","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","","Verify company logo and menu items are displayed on Pricing Page.","","Verify company logo and menu items are displayed on Pricing Page.",""
"failed","Mon Feb 20 15:12:17 IST 2023","Mon Feb 20 15:12:18 IST 2023","1533","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_username_Is_Null_validBodyDefined_Is_Yes","","Verifying the UPDATE USER API putUser_username_Is_Null_validBodyDefined_Is_Yes",""
"failed","Mon Feb 20 15:12:20 IST 2023","Mon Feb 20 15:12:22 IST 2023","1520","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the UPDATE USER API putUser_username_with_special_Characters_validBodyDefined_Is_Yes","","Verifying the UPDATE USER API putUser_username_with_special_Characters_validBodyDefined_Is_Yes",""
"passed","Mon Feb 20 15:11:16 IST 2023","Mon Feb 20 15:11:21 IST 2023","4736","","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","","Verify company logo and menu items are displayed on Integrations Page.","","Verify company logo and menu items are displayed on Integrations Page.",""
"passed","Mon Feb 20 15:12:04 IST 2023","Mon Feb 20 15:12:05 IST 2023","1595","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the GET USER API getUser_invalid_usernameDefined_Is_Yes","","Verifying the GET USER API getUser_invalid_usernameDefined_Is_Yes",""
"failed","Mon Feb 20 15:12:02 IST 2023","Mon Feb 20 15:12:04 IST 2023","1720","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the GET USER API getUser_valid_usernameDefined_Is_Yes","","Verifying the GET USER API getUser_valid_usernameDefined_Is_Yes",""
"failed","Mon Feb 20 15:11:54 IST 2023","Mon Feb 20 15:11:55 IST 2023","1622","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the CREATE USER API postUser_BodyDefined_Is_No","","Verifying the CREATE USER API postUser_BodyDefined_Is_No",""
"failed","Mon Feb 20 15:12:34 IST 2023","Mon Feb 20 15:12:36 IST 2023","1610","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the DELETE USER API deleteUser_invalid_UsernameDefined_Is_Yes","","Verifying the DELETE USER API deleteUser_invalid_UsernameDefined_Is_Yes",""
"passed","Mon Feb 20 15:11:55 IST 2023","Mon Feb 20 15:11:57 IST 2023","1549","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the CREATE USER API postUser_BodyApplicationJsonType_Is_NotObject","","Verifying the CREATE USER API postUser_BodyApplicationJsonType_Is_NotObject",""
"passed","Mon Feb 20 15:11:12 IST 2023","Mon Feb 20 15:11:16 IST 2023","4012","","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","","Verify company logo and menu items are displayed on Company Page.","","Verify company logo and menu items are displayed on Company Page.",""
"passed","Mon Feb 20 15:11:21 IST 2023","Mon Feb 20 15:11:25 IST 2023","3947","","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","","Verify company logo and menu items are displayed on Resources Page.","","Verify company logo and menu items are displayed on Resources Page.",""
"passed","Mon Feb 20 15:11:06 IST 2023","Mon Feb 20 15:11:12 IST 2023","5625","","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","","Verify company logo and menu items are displayed on Solutions Page.","","Verify company logo and menu items are displayed on Solutions Page.",""
"failed","Mon Feb 20 15:12:31 IST 2023","Mon Feb 20 15:12:33 IST 2023","1484","","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","","Verifying the DELETE USER API deleteUser_valid_userNameDefined_isYes","","Verifying the DELETE USER API deleteUser_valid_userNameDefined_isYes",""
